date,open,high,low,close,adjclose,volume
2015-01-02,111.38999938964844,111.44000244140625,107.3499984741211,109.33000183105469,100.75589752197266,53204600
2015-01-05,108.29000091552734,108.6500015258789,105.41000366210938,106.25,97.91742706298828,64285500
2015-01-06,106.54000091552734,107.43000030517578,104.62999725341797,106.26000213623047,97.92666625976562,65797100
2015-01-07,107.19999694824219,108.19999694824219,106.69999694824219,107.75,99.2998046875,40105900
2015-01-08,109.2300033569336,112.1500015258789,108.69999694824219,111.88999938964844,103.11512756347656,59364500
2015-01-09,112.66999816894531,113.25,110.20999908447266,112.01000213623047,103.2257080078125,53699500
2015-01-12,112.5999984741211,112.62999725341797,108.80000305175781,109.25,100.68215942382812,49650800
2015-01-13,111.43000030517578,112.80000305175781,108.91000366210938,110.22000122070312,101.57608032226562,67091900
2015-01-14,109.04000091552734,110.48999786376953,108.5,109.80000305175781,101.18904113769531,48956600
2015-01-15,110.0,110.05999755859375,106.66000366210938,106.81999969482422,98.4427261352539,60014000
2015-01-16,107.02999877929688,107.58000183105469,105.19999694824219,105.98999786376953,97.67781066894531,78513300
2015-01-20,107.83999633789062,108.97000122070312,106.5,108.72000122070312,100.1937255859375,49899900
2015-01-21,108.94999694824219,111.05999755859375,108.2699966430664,109.55000305175781,100.95864868164062,48575900
2015-01-22,110.26000213623047,112.47000122070312,109.72000122070312,112.4000015258789,103.58513641357422,53796400
2015-01-23,112.30000305175781,113.75,111.52999877929688,112.9800033569336,104.11962890625,46464800
2015-01-26,113.73999786376953,114.36000061035156,112.80000305175781,113.0999984741211,104.23023223876953,55615000
2015-01-27,112.41999816894531,112.4800033569336,109.02999877929688,109.13999938964844,100.58080291748047,95568700
2015-01-28,117.62999725341797,118.12000274658203,115.30999755859375,115.30999755859375,106.26691436767578,146477100
2015-01-29,116.31999969482422,119.19000244140625,115.55999755859375,118.9000015258789,109.57537841796875,84436400
2015-01-30,118.4000015258789,120.0,116.8499984741211,117.16000366210938,107.97183227539062,83745500
2015-02-02,118.05000305175781,119.16999816894531,116.08000183105469,118.62999725341797,109.32652282714844,62739100
2015-02-03,118.5,119.08999633789062,117.61000061035156,118.6500015258789,109.34498596191406,51915700
2015-02-04,118.5,120.51000213623047,118.30999755859375,119.55999755859375,110.18359375,70149700
2015-02-05,120.0199966430664,120.2300033569336,119.25,119.94000244140625,110.97004699707031,42246200
2015-02-06,120.0199966430664,120.25,118.44999694824219,118.93000030517578,110.03556823730469,43706600
2015-02-09,118.55000305175781,119.83999633789062,118.43000030517578,119.72000122070312,110.76651000976562,38889800
2015-02-10,120.16999816894531,122.1500015258789,120.16000366210938,122.0199966430664,112.89449310302734,62008500
2015-02-11,122.7699966430664,124.91999816894531,122.5,124.87999725341797,115.54060363769531,73561800
2015-02-12,126.05999755859375,127.4800033569336,125.56999969482422,126.45999908447266,117.0024185180664,74474500
2015-02-13,127.27999877929688,127.27999877929688,125.6500015258789,127.08000183105469,117.57605743408203,54272200
2015-02-17,127.48999786376953,128.8800048828125,126.91999816894531,127.83000183105469,118.26997375488281,63152400
2015-02-18,127.62999725341797,128.77999877929688,127.44999694824219,128.72000122070312,119.09342956542969,44891700
2015-02-19,128.47999572753906,129.02999877929688,128.3300018310547,128.4499969482422,118.84358215332031,37362400
2015-02-20,128.6199951171875,129.5,128.0500030517578,129.5,119.81507110595703,48948400
2015-02-23,130.02000427246094,133.0,129.66000366210938,133.0,123.0533218383789,70974100
2015-02-24,132.94000244140625,133.60000610351562,131.1699981689453,132.1699981689453,122.28540802001953,69228100
2015-02-25,131.55999755859375,131.60000610351562,128.14999389648438,128.7899932861328,119.15816497802734,74711700
2015-02-26,128.7899932861328,130.8699951171875,126.61000061035156,130.4199981689453,120.66629028320312,91287500
2015-02-27,130.0,130.57000732421875,128.24000549316406,128.4600067138672,118.85285186767578,62014800
